Symphony No. 5 in C-sharp Minor: I. Trauermarsch,Gustav Mahler; Wiener Philharmoniker; Pierre Boulez
Symphony No. 5 in C-sharp Minor: II. Stürmisch bewegt,Gustav Mahler; Wiener Philharmoniker; Pierre Boulez
Symphony No. 5 in C-sharp Minor: III. Scherzo,Gustav Mahler; Wiener Philharmoniker; Pierre Boulez
Symphony No. 5 in C-sharp Minor: IV. Adagietto,Gustav Mahler; Wiener Philharmoniker; Pierre Boulez
Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto,Sergei Rachmaninoff; Valentina Lisitsa
Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando,Sergei Rachmaninoff; Valentina Lisitsa
Samson et Dalila, Op. 47: Bacchanale,Camille Saint-Saëns
At the Ivy Gate,Brian Crain
Turandot: Act III," ""Nessun dorma!""",Giacomo Puccini; Luciano Pavarotti
Dance of the Sugar Plum Fairy,Pyotr Ilyich Tchaikovsky
In Dulci Jubilo,Traditional; Stellenbosch University Choir
Lunar Lullaby,Jacob Narverud
Also sprach Zarathustra, Op. 30: I. Sunrise,Richard Strauss
All of Me (Seth's Favorite),Jon Schmidt
The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity,Gustav Holst
Ein deutsches Requiem, Op. 45: VI. Wie lieblich sind deine Wohnungen,Johannes Brahms
Intermezzo in A Major, Op. 118 No. 2,Robert Schumann
Carnaval," Op. 9: No. 11 ""Chiarina""",Robert Schumann
Études, Op. 10 No. 1,Frédéric Chopin
Étude, Op. 42 No. 5 in C-sharp Minor,Alexander Scriabin
Csárdás,Vittorio Monti
The Four Seasons," Op. 8 No. 1 ""Spring"": I. Allegro",Antonio Vivaldi
The Four Seasons," Op. 8 No. 4 ""Winter"": II. Largo",Antonio Vivaldi
Rhapsody in Blue,George Gershwin
Fantaisie-Impromptu in C-sharp Minor, Op. 66,Frédéric Chopin
"Africa (from ""Afrique"")",Camille Saint-Saëns
Prelude in C-sharp Minor, Op. 3 No. 2,Sergei Rachmaninoff
Prelude in G Minor, Op. 23 No. 5,Sergei Rachmaninoff
Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato,Sergei Rachmaninoff
Wedding Day at Troldhaugen,Edvard Grieg
Piano Concerto No. 20 in D Minor, K. 466: I. Allegro,Wolfgang Amadeus Mozart
Polonaise héroïque, Op. 53,Frédéric Chopin
Trumpet Concerto in E-flat Major: III. Allegro,Joseph Haydn
Piano Sonata No. 8 in C Minor," Op. 13 ""Pathétique"": I. Grave – Allegro",Ludwig van Beethoven
Boléro,Maurice Ravel
Ride of the Valkyries,Richard Wagner
"Cantata BWV 140: Chorale ""Wachet auf"," ruft uns die Stimme""",Johann Sebastian Bach
"Cantata BWV 140: Chorale ""Zion hört die Wächter singen""",Johann Sebastian Bach
"Cantata BWV 140: Recitative ""Er kommt"," der Bräutigam kommt""",Johann Sebastian Bach
Fugue in G Minor," BWV 578 ""Little""",Johann Sebastian Bach
Prelude and Fugue in E-flat Major," BWV 552 ""St. Anne""",Johann Sebastian Bach
