Pompeii MMXIII,Bastille;Hans Zimmer
The Sound of Silence,Cody Fry;Sleeping At Last
Of the Father's Love Begotten (Live) [Violin & Pop Orchestral],Matt Riley
Africa (Live),40 Fingers
Hotel California,40 Fingers
Beethoven's 5 Secrets,The Piano Guys;YouTube Philharmonic Orchestra;American Heritage School;Julie Ann Nelson;John Nelson
Goodbye Yellow Brick Road - Live at the Variety Playhouse, Atlanta, GA - May 2013,Sara Bareilles
Fireflies (Acoustic Instrumental),Eddie van der Meer;Casper Esmann
