Will Recovering,Jørgen Beck
Indian Nightmares,Jørgen Beck
Dragon Warrior Rises,Hans Zimmer;John Powell
Opening Titles,David Arnold
Merry Men,Marc Streitenfeld
Define Dancing,Thomas Newman
Les Aventures de Tintin - Thème du générique,Ciné-Trio;Philippe Barbey-Lallia;Cyril Baleton;Timothée Oudinet
Dream of Arrakis,Hans Zimmer
Gom Jabbar,Hans Zimmer
Leaving Caladan,Hans Zimmer
Can You Hear The Music,Ludwig Göransson
"Kingdom Dance - From ""Tangled"" / Score",Alan Menken
First Class,Henry Jackman
Po Finds The Truth,John Powell;Hans Zimmer
"At Wit's End - From ""Pirates of the Caribbean: At World's End"" / Score",Hans Zimmer
Up Is Down,Hans Zimmer
"Up Is Down (From ""Pirates of the Caribbean: At World's End"")",The City of Prague Philharmonic Orchestra
Singapore,Hans Zimmer
"The Pirate That Should Not Be - From ""Pirates of the Caribbean: On Stranger Tides"" / Soundtrack Version",Rodrigo y Gabriela
Jack Sparrow,Hans Zimmer
Drink Up Me Hearties Yo Ho,Hans Zimmer
Drink Up," Me Hearties (From ""Pirates of the Caribbean: At World's End"")",The City of Prague Philharmonic Orchestra
Guilty of Being Innocent of Being Jack Sparrow,Hans Zimmer
Davy Jones,Hans Zimmer
One Day,Hans Zimmer
Beyond My Beloved Horizon,Geoff Zanelli
My Name Is Barbossa,Geoff Zanelli
Evacuating London,Harry Gregson-Williams
First Flight,Henry Jackman
Opening Titles,Alexandre Desplat;London Symphony Orchestra
My Fist Hungers For Justice,John Powell;Hans Zimmer
"Run Llama Run - From ""The Emperor's New Groove"" / Score",John Debney
Song of the Lonely Mountain - Extended Version,Neil Finn
Misty Mountains,Richard Armitage;The Dwarf Cast
Rise,Hans Zimmer
Toothless Found,John Powell
Toothless Found,John Powell
Zen Ball Master,John Powell;Hans Zimmer
Rise Above,Vegar Margeirsson
Only The Beginning of The Adventure,Harry Gregson-Williams
More Cannons!,John Powell;Hans Zimmer
Oblivion,M83;Susanne Sundfør
F1,Hans Zimmer
Newt Says Goodbye to Tina / Jacob's Bakery,James Newton Howard
"The Fantastic Four: First Steps Main Theme - From ""The Fantastic Four: First Steps""",Michael Giacchino
Kiss the Ring,Hans Zimmer
"Final Ascent - Single Edit / From ""No Time to Die"" Soundtrack",Hans Zimmer
Herald of the Change,Hans Zimmer
Toothless Lost,John Powell
Save Kung Fu,John Powell;Hans Zimmer
Separate Ways (Worlds Apart) - Steve Perry & Bryce Miller Extended Remix,Journey;Steve Perry
Meet the IMF,Joe Kraemer
Finale and Curtain Call,Joe Kraemer
Main Titles - from Mission: Impossible - The Final Reckoning,Max Aruj;Alfie Godfrey
