Ride,Twenty One Pilots
Steal My Girl,One Direction
Home,Vince Staples;Richie Kohan
Charlie Brown,Coldplay
What You Know,Two Door Cinema Club
Heat Waves,Glass Animals
March To The Sea,Twenty One Pilots
"""Zero - From the Original Motion Picture """"Ralph Breaks The Internet""""""",Imagine Dragons
TOGETHER,for KING & COUNTRY;Kirk Franklin;Tori Kelly
"Music, They Call Me",The Gray Havens
It Is Finished,The Modern Post
Rejoice,The Modern Post
In The House Of Tom Bombadil,Nickel Creek
Three Birds in Babylon,The Gray Havens
See You Again,The Gray Havens
Grace Alone,The Modern Post
Lost Boy,Relient K
Wildflowers,Maddie Poppe
Headfirst,The Royal
Adventure,Matthew Parker
Dance,Tim Halperin
June: Good Days Start Here,Tim Myers
Starlight,Neverest
Let It Out,Switchfoot
California,Silent Pilot
Listen to the Music,The Doobie Brothers
Endless Praise,Charity Gayle
Paradise,Coldplay
Johnny B. Goode,Chuck Berry
Sunday Is Coming,Phil Wickham
Never Once,Matt Redman
This Is Our God,Phil Wickham
Crash My Car,COIN
Drag Me Down,One Direction
Remind Me,Tom Grennan
RUNAWAY,OneRepublic
Don't Throw Out My Legos,AJR
